"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"132","Brian Hill",7.47560975609756,0.486,2.5,0.45,1,0,0
"133","Fred Hoiberg",3.29268292682927,0.426,0.375,0.333,0,0,0
"134","Lionel Hollins",6.51219512195122,0.491,2.5625,0.488,0,0,0
"135","Red Holzman",15.8414634146341,0.536,6.5625,0.552,2,2,1
"136","Bob Hopkins",0.268292682926829,0.227,0,0,0,0,0
"137","Jeff Hornacek",4.59756097560976,0.427,0,0,0,0,0
"138","Kim Hughes",0.402439024390244,0.242,0,0,0,0,0
"139","Rex Hughes",0.707317073170732,0.397,0,0,0,0,0
"140","Melvin Hunt",0.280487804878049,0.435,0,0,0,0,0
"141","Lindsey Hunter",0.5,0.293,0,0,0,0,0
"142","Marc Iavaroni",1.5,0.268,0,0,0,0,0
"143","Stu Inman",0.317073170731707,0.231,0,0,0,0,0
"144","George Irvine",3.53658536585366,0.345,0.1875,0,0,0,0
"145","Dan Issel",4.73170731707317,0.464,0.75,0.5,0,0,0
"146","Mark Jackson",2.80487804878049,0.526,1.1875,0.474,0,0,0
"147","Phil Jackson",20,0.704,20.8125,0.688,13,11,1
"148","Stu Jackson",1.65853658536585,0.426,0.625,0.4,0,0,0
"149","Buddy Jeannette",3.76829268292683,0.44,1.5,0.583,0,1,0
"150","Taylor Jenkins",0.74390243902439,0.492,0,0,0,0,0
"151","Chris Jent",0.219512195121951,0.278,0,0,0,0,0
"152","Dave Joerger",6,0.498,1.375,0.409,0,0,0
"153","Avery Johnson",5.36585365853659,0.577,2.9375,0.489,1,0,0
"154","Dennis Johnson",0.292682926829268,0.333,0,0,0,0,0
"155","Frank Johnson",1.63414634146341,0.47,0.375,0.333,0,0,0
"156","Magic Johnson",0.195121951219512,0.313,0,0,0,0,0
"157","Phil Johnson",6.6219512195122,0.435,0.5625,0.222,0,0,0
"158","Neil Johnston",1.8780487804878,0.617,0.75,0.333,0,0,0
"159","K.C. Jones",9.4390243902439,0.674,8.625,0.587,5,2,0
"160","Wally Jones",0.146341463414634,0.583,0.1875,0.333,0,0,0
"161","Eddie Jordan",7.31707317073171,0.428,1.625,0.308,0,0,0
"162","Ed Jucker",2,0.488,0,0,0,0,0
"163","Alvin Julian",1.5609756097561,0.367,0,0,0,0,1
"164","George Karl",24.3780487804878,0.588,11.5625,0.432,1,0,0
"165","Bob Kauffman",0.707317073170732,0.5,0,0,0,0,0
"166","Red Kerr",3.45121951219512,0.329,0.5,0.125,0,0,0
