"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"193","Percy LeSueur",0.121951219512195,0.3,0,0,0,0,0
"194","Dave Lewis",3.0609756097561,0.619266055045872,1,0.375,0,0,0
"195","Rick Ley",3.46341463414634,0.489451476793249,1.5,0.375,0,0,0
"196","Ted Lindsay",0.353658536585366,0.192307692307692,0,0,0,0,1
"197","Barry Long",2.5,0.483333333333333,0.6875,0.273,0,0,0
"198","Clem Loughlin",1.75609756097561,0.491935483870968,0.25,0.375,0,0,0
"199","Ron Low",6.15853658536585,0.46119733924612,1.75,0.357,0,0,0
"200","Kevin Lowe",1,0.551724137931034,0.3125,0.2,0,0,0
"201","Steve Ludzik",1.47560975609756,0.316326530612245,0,0,0,0,0
"202","Parker MacDonald",1.25609756097561,0.379310344827586,0,0,0,0,0
"203","Doug MacLean",3.24390243902439,0.484162895927602,1.6875,0.481,0,0,0
"204","John MacLean",0.402439024390244,0.290322580645161,0,0,0,0,0
"205","Paul MacLean",2.91463414634146,0.558823529411765,1.0625,0.471,0,0,0
"206","Billy MacMillan",2.19512195121951,0.26797385620915,0,0,0,0,0
"207","Al MacNeil",3.73170731707317,0.549800796812749,2.6875,0.512,1,1,0
"208","Craig MacTavish",8,0.544303797468354,2.25,0.528,0,0,0
"209","Keith Magnuson",1.60975609756098,0.462264150943396,0.1875,0,0,0,0
"210","Bill Mahoney",1.13414634146341,0.518518518518518,1,0.438,0,0,0
"211","Dan Maloney",4.53658536585366,0.413373860182371,1.5625,0.44,0,0,0
"212","Phil Maloney",2.82926829268293,0.475,0.4375,0.143,0,0,0
"213","Sylvio Mantha",0.585365853658537,0.297297297297297,0,0,0,0,1
"214","Bert Marshall",0.292682926829268,0.15,0,0,0,0,0
"215","Jacques Martin",15.780487804878,0.560329067641682,6.9375,0.45,0,0,0
"216","Godfrey Matheson",0.024390243902439,0,0,0,0,0,0
"217","Paul Maurice",19.4756097560976,0.529796511627907,5,0.45,0,0,0
"218","Wayne Maxner",1.57317073170732,0.333333333333333,0,0,0,0,0
"219","Bob McCammon",6.24390243902439,0.496629213483146,1.0625,0.235,0,0,0
"220","Bill McCreary",1.18292682926829,0.280487804878049,0,0,0,0,0
"221","Pierre McGuire",0.817073170731707,0.383333333333333,0,0,0,0,0
"222","John McLellan",3.78048780487805,0.475471698113208,0.6875,0.273,0,0,0
"223","Todd McLellan",10.6341463414634,0.591494845360825,4.6875,0.493,0,0,0
"224","Tom McVie",5.63414634146341,0.323907455012853,0.875,0.429,0,0,0
"225","Howie Meeker",0.853658536585366,0.381818181818182,0,0,0,0,0
"226","Barry Melrose",2.74390243902439,0.4375,1.5,0.542,0,0,0
"227","Mike Milbury",4.28048780487805,0.477124183006536,2.5,0.575,0,0,0
"228","Lorne Molleken",0.573170731707317,0.486486486486487,0,0,0,0,0
"229","Jim Montgomery",1.39024390243902,0.586538461538462,0.8125,0.538,0,0,0
"230","John Muckler",7.90243902439024,0.491978609625668,4.1875,0.537,1,1,0
"231","Pete Muldoon",0.536585365853659,0.463414634146341,0.125,0.25,0,0,0
"232","Kirk Muller",2.28048780487805,0.5,0,0,0,0,0
"233","Dunc Munro",0.926829268292683,0.560606060606061,0.25,0.25,0,0,0
"234","Bob Murdoch",2.92682926829268,0.444976076555024,0.75,0.333,0,0,0
"235","Mike Murphy",2.79268292682927,0.392156862745098,0.3125,0.2,0,0,0
"236","Andy Murray",9,0.545901639344262,1.75,0.357,0,0,0
"237","Bob Murray",0.317073170731707,0.56,0,0,0,0,0
"238","Bryan Murray",15.109756097561,0.571428571428571,7,0.464,0,0,0
"239","Terry Murray",12.3414634146341,0.565759637188209,6.3125,0.495,0,0,0
"240","Lou Nanne",0.353658536585366,0.28,0,0,0,0,0
"241","Alain Nasreddine",0.48780487804878,0.53125,0,0,0,0,0
"242","Harry Neale",5.39024390243902,0.414364640883978,0.875,0.214,0,0,0
"243","Roger Neilson",12.1951219512195,0.548926014319809,6.625,0.481,0,0,1
"244","Todd Nelson",0.621951219512195,0.404761904761905,0,0,0,0,0
"245","Claude Noel",2.45121951219512,0.508474576271186,0,0,0,0,0
"246","Ted Nolan",5.74390243902439,0.451690821256039,1.0625,0.353,0,0,0
"247","Mike Nykoluk",3.41463414634146,0.381974248927039,0.4375,0.143,0,0,0
"248","Mike O'Connell",0.109756097560976,0.5,0.3125,0.2,0,0,0
"249","George O'Donoghue",0.353658536585366,0.535714285714286,0.125,0.75,1,1,0
"250","Terry O'Reilly",2.76829268292683,0.572139303482587,2.3125,0.473,0,0,0
"251","Adam Oates",1.58536585365854,0.575221238938053,0.4375,0.429,0,0,0
"252","Ed Olczyk",1.3780487804878,0.326315789473684,0,0,0,0,0
"253","Murray Oliver",0.451219512195122,0.6,0.5625,0.444,0,0,0
"254","Bert Olmstead",0.780487804878049,0.229166666666667,0,0,0,0,1
"255","John Paddock",4.20731707317073,0.470198675496689,0.8125,0.385,0,0,0
"256","Pierre Page",7.75609756097561,0.456678700361011,1.375,0.273,0,0,0
"257","Brad Park",0.548780487804878,0.209302325581395,0,0,0,0,1
"258","Rick Paterson",0.0731707317073171,0,0,0,0,0,0
"259","Craig Patrick",2.0609756097561,0.448979591836735,1.375,0.364,0,0,1
"260","Frank Patrick",1.17073170731707,0.571428571428571,0.375,0.333,0,0,1
"261","Lester Patrick",7.36585365853659,0.565392354124749,4.0625,0.546,2,2,1
"262","Lynn Patrick",5.40243902439024,0.457063711911357,2.5,0.413,0,0,1
"263","Muzz Patrick",1.65853658536585,0.394495412844037,0,0,0,0,0
"264","Davis Payne",1.67073170731707,0.549180327868853,0,0,0,0,0
"265","Jean Perron",3.5,0.563492063492063,3,0.625,1,1,0
"266","Don Perry",2.04878048780488,0.37956204379562,0.625,0.4,0,0,0
"267","Bill Peters",5.34146341463415,0.532085561497326,0.3125,0.2,0,0,0
"268","Alf Pike",1.5,0.352941176470588,0,0,0,0,0
"269","Rudy Pilous",4.71951219512195,0.517571884984026,2.5,0.45,1,1,1
"270","Barclay Plager",2.17073170731707,0.337931034482759,0.25,0.25,0,0,0
"271","Bob Plager",0.134146341463415,0.4,0,0,0,0,0
"272","Jim Playfair",1,0.597222222222222,0.375,0.333,0,0,0
"273","Larry Pleau",2.73170731707317,0.409090909090909,0.625,0.2,0,0,0
"274","Nick Polano",2.92682926829268,0.383495145631068,0.4375,0.143,0,0,0
"275","Larry Popein",0.5,0.5625,0,0,0,0,0
"276","Eddie Powers",0.804878048780488,0.492063492063492,0.125,0,0,0,0
"277","Joe Primeau",2.5609756097561,0.577380952380952,0.9375,0.567,1,1,1
"278","Marcel Pronovost",1.26829268292683,0.641975308641975,0.5,0.375,0,0,1
"279","Bob Pulford",10.109756097561,0.523809523809524,4.4375,0.394,0,0,1
"280","Joel Quenneville",20.7560975609756,0.62322754895341,13.4375,0.549,3,3,0
"281","Charles Querrie",0.878048780487805,0.432835820895522,0,0,0,0,0
"282","David Quinn",1.80487804878049,0.515384615384615,0,0,0,0,0
"283","Mike Quinn",0.292682926829268,0.166666666666667,0,0,0,0,0
"284","Pat Quinn",17.0731707317073,0.564356435643564,11.4375,0.514,0,0,1
"285","Cap Raeder",0.0121951219512195,1,0,0,0,0,0
"286","Craig Ramsay",1.59756097560976,0.442477876106195,0,0,0,0,0
"287","Ken Randall",0.170731707317073,0.428571428571429,0,0,0,0,0
"288","Billy Reay",13.4390243902439,0.584681769147789,7.3125,0.487,0,0,0
"289","Larry Regan",1.07317073170732,0.364864864864865,0,0,0,0,0
"290","Todd Reirden",1.79268292682927,0.661654135338346,0.4375,0.429,0,0,0
"291","Tom Renney",7.21951219512195,0.504854368932039,1.5,0.458,0,0,0
"292","Todd Richards",5.17073170731707,0.527131782945736,0.375,0.333,0,0,0
"293","Doug Risebrough",1.75609756097561,0.559055118110236,0.4375,0.429,0,0,0
"294","Jimmy Roberts",1.63414634146341,0.454545454545455,0.4375,0.429,0,0,0
"295","Larry Robinson",6.10975609756098,0.490610328638498,3.25,0.596,1,1,1
"296","Mike Rodden",0.024390243902439,0,0,0,0,0,0
"297","Ron Rolston",0.621951219512195,0.422222222222222,0,0,0,0,0
"298","Alex Romeril",0.158536585365854,0.583333333333333,0,0,0,0,0
"299","Art Ross",9.78048780487805,0.557284299858557,4.375,0.493,2,2,1
"300","Tom Rowe",0.731707317073171,0.48,0,0,0,0,0
"301","Patrick Roy",3,0.585585585585586,0.4375,0.429,0,0,0
"302","Claude Ruel",3.71951219512195,0.677165354330709,1.6875,0.667,1,1,0
"303","Lindy Ruff",18.2073170731707,0.570542635658915,7.5,0.55,0,0,0
"304","Joe Sacco",3.58536585365854,0.492424242424242,0.375,0.333,0,0,0
"305","Glen Sather",11.3658536585366,0.618159203980099,7.9375,0.705,4,4,1
"306","Ted Sator",3.73170731707317,0.5,1.6875,0.407,0,0,0
"307","Andre Savard",0.292682926829268,0.434782608695652,0,0,0,0,0
"308","Denis Savard",1.79268292682927,0.49618320610687,0,0,0,0,1
"309","Ken Schinkel",2.47560975609756,0.474285714285714,0.375,0.333,0,0,0
"310","Milt Schmidt",9.39024390243902,0.388198757763975,2.125,0.441,0,0,1
"311","Jim Schoenfeld",7.07317073170732,0.50996015936255,3.5625,0.456,0,0,0
"312","Tom Shaughnessy",0.25609756097561,0.555555555555556,0,0,0,0,0
"313","Brad Shaw",0.48780487804878,0.5,0,0,0,0,0
"314","Fred Shero",8.95121951219512,0.634146341463415,6.875,0.573,2,2,1
"315","Joe Simpson",1.75609756097561,0.368421052631579,0,0,0,0,1
"316","Terry Simpson",4.48780487804878,0.486238532110092,1.625,0.423,0,0,0
"317","Al Sims",1,0.364864864864865,0,0,0,0,0
"318","Harry Sinden",3.98780487804878,0.568773234200744,2.6875,0.558,1,1,1
"319","Jimmy Skinner",3.01219512195122,0.611940298507463,1.625,0.538,1,1,0
"320","Cooper Smeaton",0.536585365853659,0.1,0,0,0,0,0
"321","Alf Smith",0.219512195121951,0.666666666666667,0.3125,0.2,0,0,1
"322","Barry Smith",0.0609756097560976,0.8,0,0,0,0,0
"323","D.J. Smith",0.817073170731707,0.418181818181818,0,0,0,0,0
"324","Floyd Smith",3.76829268292683,0.645522388059702,2,0.5,0,0,0
"325","Mike Smith",0.280487804878049,0.105263157894737,0,0,0,0,0
"326","Ron Smith",0.536585365853659,0.405405405405405,0,0,0,0,0
