"N","GR","WL%","PGR","PWL%","CC","C","HOF","Sport"
"Bill Rigney",15.8086419753086,0.484,0.272727272727273,0,0,0,0,"baseball"
"Bill Russell",7.69512195121951,0.54,3.8125,0.557,2,2,0,"basketball"
"Bill Russell",1.98765432098765,0.537,0.272727272727273,0,0,0,0,"baseball"
"Bill Sharman",6.98780487804878,0.581,3.875,0.565,2,1,1,"basketball"
"Bill Sharsig",2.87037037037037,0.524,0,0,0,0,0,"baseball"
"Bill Shettsline",4.17901234567901,0.548,0,0,0,0,0,"baseball"
"Bill Smith",0.0308641975308642,0,0,0,0,0,0,"baseball"
"Bill Stewart",0.451219512195122,0.366666666666667,0,0,0,0,0,"hockey"
"Bill Stewart",0.841463414634146,0.385964912280702,0.625,0.7,1,1,0,"hockey"
"Bill Sutherland",0.390243902439024,0.241379310344828,0,0,0,0,0,"hockey"
"Bill Terry",9.23456790123457,0.555,1.45454545454545,0.438,3,1,1,"baseball"
"Bill Tobin",0.865853658536585,0.5,0.25,0.375,0,0,0,"hockey"
"Bill Virdon",11.8395061728395,0.519,1.36363636363636,0.4,0,0,0,"baseball"
"Bill Walsh",9.5,0.609,4.66666666666667,0.714,3,3,1,"football"
"Bill Watkins",5.64197530864198,0.504,0,0,1,1,0,"baseball"
"Bill White",0.560975609756098,0.4,0.125,0,0,0,0,"hockey"
"Billy Barnie",9.11728395061728,0.438,0,0,0,0,0,"baseball"
"Billy Cunningham",7.92682926829268,0.698,6.5625,0.629,3,1,0,"basketball"
"Billy Dea",0.134146341463415,0.272727272727273,0,0,0,0,0,"hockey"
"Billy Donovan",4.78048780487805,0.61,2.125,0.441,0,0,0,"basketball"
"Billy Gardner",4.61111111111111,0.442,0,0,0,0,0,"baseball"
"Billy Herman",2.87037037037037,0.408,0,0,0,0,1,"baseball"
"Billy Hitchcock",3.30246913580247,0.512,0,0,0,0,0,"baseball"
"Billy Hunter",1.5679012345679,0.575,0,0,0,0,0,"baseball"
"Billy Inglis",0.682926829268293,0.608695652173913,0.1875,0.333,0,0,0,"hockey"
"Billy Jurges",0.753086419753086,0.484,0,0,0,0,0,"baseball"
"Billy MacMillan",2.19512195121951,0.26797385620915,0,0,0,0,0,"hockey"
"Billy Marshall",0.9375,0.273,0,0,0,0,0,"football"
"Billy Martin",13.9938271604938,0.553,3.09090909090909,0.441,2,1,0,"baseball"
"Billy Meyer",4.77777777777778,0.412,0,0,0,0,0,"baseball"
"Billy Murray",2.82716049382716,0.529,0,0,0,0,0,"baseball"
