"N","GR","WL%","PGR","PWL%","CC","C","HOF","Sport"
"Gary Kubiak",9.8125,0.522,2.33333333333333,0.714,1,1,0,"football"
"Gary Moeller",0.4375,0.571,0,0,0,0,0,"football"
"Gary Varsho",0.0123456790123457,0.5,0,0,0,0,0,"baseball"
"Gavvy Cravath",1.40740740740741,0.399,0,0,0,0,0,"baseball"
"Gene Lamont",6.88888888888889,0.496,0.545454545454545,0.333,0,0,0,"baseball"
"Gene Littles",1.89024390243902,0.284,0,0,0,0,0,"basketball"
"Gene Mauch",24.3333333333333,0.483,1.09090909090909,0.417,0,0,0,"baseball"
"Gene Michael",2.50617283950617,0.507,0,0,0,0,0,"baseball"
"Gene Ronzani",2.875,0.311,0,0,0,0,0,"football"
"Gene Shue",20.0609756097561,0.477,4.8125,0.39,2,0,0,"basketball"
"Gene Stallings",3.625,0.405,0,0,0,0,0,"football"
"Gene Tenace",0.203703703703704,0.576,0,0,0,0,0,"baseball"
"Gene Tormohlen",0.0975609756097561,0.125,0,0,0,0,0,"basketball"
"Gene Ubriaco",1.29268292682927,0.515463917525773,0.6875,0.636,0,0,0,"hockey"
"Geoff Ward",0.51219512195122,0.615384615384615,0,0,0,0,0,"hockey"
"George Allen",10.5,0.712,3,0.222,1,0,1,"football"
"George Armstrong",0.573170731707317,0.395348837209302,0,0,0,0,1,"hockey"
"George Bamberger",5.77777777777778,0.489,0,0,0,0,0,"baseball"
"George Burnett",0.426829268292683,0.375,0,0,0,0,0,"hockey"
"George Creamer",0.0493827160493827,0,0,0,0,0,0,"baseball"
"George Davis",1.55555555555556,0.435,0,0,0,0,1,"baseball"
"George Frazier",0.722222222222222,0.44,0,0,0,0,0,"baseball"
"George Gibson",0.875,0.231,0,0,0,0,0,"football"
"George Gibson",4.68518518518519,0.546,0,0,0,0,0,"baseball"
"George Gore",0.0987654320987654,0.4,0,0,0,0,0,"baseball"
"George Halas",31.0625,0.682,3,0.667,6,6,1,"football"
"George Huff",0.0493827160493827,0.25,0,0,0,0,0,"baseball"
"George Irvine",3.53658536585366,0.345,0.1875,0,0,0,0,"basketball"
"George Karl",24.3780487804878,0.588,11.5625,0.432,1,0,0,"basketball"
"George Kingston",2,0.178343949044586,0,0,0,0,0,"hockey"
"George Lee",1.63414634146341,0.47,0.375,0.333,0,0,0,"basketball"
"George McBride",0.950617283950617,0.523,0,0,0,0,0,"baseball"
"George McManus",0.419753086419753,0.5,0,0,0,0,0,"baseball"
"George Mikan",0.475609756097561,0.231,0,0,0,0,0,"basketball"
"George Moriarty",1.91358024691358,0.489,0,0,0,0,0,"baseball"
"George Myatt",0.339506172839506,0.364,0,0,0,0,0,"baseball"
"George O'Donoghue",0.353658536585366,0.535714285714286,0.125,0.75,1,1,0,"hockey"
"George Seifert",11,0.648,5,0.667,2,2,0,"football"
"George Senesky",2.63414634146341,0.551,1.25,0.5,1,1,0,"basketball"
"George Sisler",2.85185185185185,0.475,0,0,0,0,1,"baseball"
"George Stallings",11.1851851851852,0.495,0.363636363636364,1,1,1,0,"baseball"
"George Stovall",4.30864197530864,0.454,0,0,0,0,0,"baseball"
"George Strickland",0.691358024691358,0.432,0,0,0,0,0,"baseball"
"George Taylor",0.672839506172839,0.385,0,0,0,0,0,"baseball"
"George Van Haltren",0.0679012345679012,0.091,0,0,0,0,0,"baseball"
"George Wilson",10,0.447,0.666666666666667,1,1,1,0,"football"
"George Wood",0.771604938271605,0.549,0,0,0,0,0,"baseball"
"George Wright",0.524691358024691,0.702,0,0,1,0,1,"baseball"
"Georges Boucher",2.01219512195122,0.367647058823529,0.125,0,0,0,1,"hockey"
"Gerard Gallant",6.59756097560976,0.555555555555556,2.0625,0.545,0,0,0,"hockey"
"Gerry Cheevers",4.58536585365854,0.618181818181818,2.125,0.441,0,0,1,"hockey"
"Gil Hodges",8.7283950617284,0.467,0.727272727272727,0.875,1,1,0,"baseball"
"Glen Gulutzan",3.58536585365854,0.538745387453875,0.25,0,0,0,0,"hockey"
"Glen Hanlon",2.91463414634146,0.39,0,0,0,0,0,"hockey"
"Glen Sather",11.3658536585366,0.618159203980099,7.9375,0.705,4,4,1,"hockey"
"Glen Sonmor",5.13414634146341,0.523668639053254,2.9375,0.553,0,0,0,"hockey"
"Glenn Curtis",0.414634146341463,0.353,0,0,0,0,0,"basketball"
"Glenn Hoffman",0.54320987654321,0.534,0,0,0,0,0,"baseball"
"Godfrey Matheson",0.024390243902439,0,0,0,0,0,0,"hockey"
"Grady Hatton",2.38271604938272,0.426,0,0,0,0,0,"baseball"
"Grady Lewis",1.5609756097561,0.43,0.125,0,0,0,0,"basketball"
"Grady Little",4,0.552,1.36363636363636,0.4,0,0,0,"baseball"
"Greasy Neale",6.9375,0.594,1.33333333333333,0.75,2,2,1,"football"
"Greg Gilbert",1.47560975609756,0.428571428571429,0,0,0,0,0,"hockey"
"Greg Riddoch",2.4320987654321,0.508,0,0,0,0,0,"baseball"
"Greg Schiano",2,0.344,0,0,0,0,0,"football"
"Gregg Popovich",22.9634146341463,0.676,17.75,0.599,6,5,0,"basketball"
"Gregg Williams",3.5,0.393,0,0,0,0,0,"football"
"Guil Falcon",1.5625,0.5,0,0,0,0,0,"football"
"Gunther Cunningham",2,0.5,0,0,0,0,0,"football"
"Gus Bradley",3.875,0.226,0,0,0,0,0,"football"
"Gus Dorais",3.3125,0.392,0,0,0,0,0,"football"
"Gus Henderson",0.6875,0.545,0,0,0,0,0,"football"
"Gus Schmelz",8.37654320987654,0.47,0,0,0,0,0,"baseball"
"Gus Tebell",0.1875,1,0,0,0,0,0,"football"
"Guy Boucher",5.17073170731707,0.505291005291005,2.3125,0.595,0,0,0,"hockey"
"Guy Carbonneau",2.80487804878049,0.599033816425121,0.75,0.417,0,0,0,"hockey"
"Guy Chamberlin",5.0625,0.784,0,0,4,4,1,"football"
"Guy Charron",0.792682926829268,0.377358490566038,0,0,0,0,0,"hockey"
"Guy Hecker",0.851851851851852,0.169,0,0,0,0,0,"baseball"
"Hal Chase",1.03086419753086,0.518,0,0,0,0,0,"baseball"
"Hal Erickson",0.8125,0.385,0,0,0,0,0,"football"
"Hal Griffen",0.875,0.455,0,0,0,0,0,"football"
"Hal Hanson",0.75,0.222,0,0,0,0,0,"football"
"Hal Hunter",0.0625,0,0,0,0,0,0,"football"
"Hal Lanier",3,0.523,0.545454545454545,0.333,0,0,0,"baseball"
"Hal Laycoe",2.19512195121951,0.300613496932515,0,0,0,0,0,"hockey"
"Hal McRae",5.38271604938272,0.458,0,0,0,0,0,"baseball"
"Hampton Pool",2.9375,0.578,0.333333333333333,0,0,0,0,"football"
"Hank Bauer",7.03086419753086,0.522,0.363636363636364,1,1,1,0,"baseball"
"Hank Bullough",1.375,0.182,0,0,0,0,0,"football"
"Hank Gillo",0.4375,0.286,0,0,0,0,0,"football"
"Hank Gowdy",0.0246913580246914,0.75,0,0,0,0,0,"baseball"
"Hank Kuhlmann",0.3125,0,0,0,0,0,0,"football"
"Hank O'Day",1.91975308641975,0.498,0,0,0,0,1,"baseball"
"Hank Stram",14.875,0.574,2.66666666666667,0.625,3,3,1,"football"
"Hans Lobert",0.944444444444444,0.275,0,0,0,0,0,"baseball"
"Hap Day",6.65853658536585,0.556989247311828,5,0.613,5,5,1,"hockey"
"Harland Svare",4.625,0.31,0,0,0,0,0,"football"
"Harold Olsen",1.92682926829268,0.601,1.125,0.389,0,0,0,"basketball"
"Harry Craft",5.24074074074074,0.426,0,0,0,0,0,"baseball"
"Harry Davis",0.783950617283951,0.432,0,0,0,0,0,"baseball"
"Harry Deane",0.0308641975308642,0.4,0,0,0,0,0,"baseball"
"Harry Diddlebock",0.104938271604938,0.412,0,0,0,0,0,"baseball"
"Harry Gallatin",3.1219512195122,0.531,1.4375,0.522,0,0,0,"basketball"
"Harry Gilmer",1.75,0.385,0,0,0,0,0,"football"
"Harry Howell",0.134146341463415,0.333333333333333,0,0,0,0,1,"hockey"
"Harry Lord",0.679012345679012,0.55,0,0,0,0,0,"baseball"
"Harry Lumley",0.95679012345679,0.359,0,0,0,0,0,"baseball"
"Harry Mehre",0.5625,0.286,0,0,0,0,0,"football"
"Harry Neale",5.39024390243902,0.414364640883978,0.875,0.214,0,0,0,"hockey"
"Harry Robb",1.125,0.278,0,0,0,0,0,"football"
"Harry Sinden",3.98780487804878,0.568773234200744,2.6875,0.558,1,1,1,"hockey"
"Harry Smith",0.487654320987654,0.299,0,0,0,0,0,"baseball"
"Harry Spence",0.839506172839506,0.37,0,0,0,0,0,"baseball"
"Harry Stovey",0.864197530864197,0.457,0,0,0,0,0,"baseball"
"Harry Walker",7.62345679012346,0.511,0,0,0,0,0,"baseball"
"Harry Wheeler",0.0246913580246914,0,0,0,0,0,0,"baseball"
"Harry Wolverton",0.944444444444444,0.329,0,0,0,0,0,"baseball"
"Harry Wright",13.2407407407407,0.581,0,0,6,0,1,"baseball"
"Harvey Johnson",1.625,0.08,0,0,0,0,0,"football"
"Harvey Kuenn",1.72222222222222,0.576,1.09090909090909,0.5,1,0,0,"baseball"
"Harvey Sproule",0.146341463414634,0.583333333333333,0,0,0,0,0,"hockey"
"Harvey Watkins",0.216049382716049,0.514,0,0,0,0,0,"baseball"
"Haywood Sullivan",0.839506172839506,0.397,0,0,0,0,0,"baseball"
"Heinie Groh",0.0617283950617284,0.7,0,0,0,0,0,"baseball"
"Heinie Smith",0.197530864197531,0.156,0,0,0,0,0,"baseball"
"Heinie Wagner",0.950617283950617,0.338,0,0,0,0,0,"baseball"
"Henry Larkin",0.487654320987654,0.43,0,0,0,0,0,"baseball"
"Henry Myers",0.45679012345679,0.26,0,0,0,0,0,"baseball"
"Herb Brooks",6.17073170731707,0.5,2.5,0.475,0,0,1,"hockey"
"Herb Brown",1.78048780487805,0.493,0.75,0.417,0,0,0,"basketball"
"Herb Dell",0.5,0,0,0,0,0,0,"football"
"Herb Gardiner",0.390243902439024,0.178571428571429,0,0,0,0,1,"hockey"
"Herb Joesting",0.625,0.1,0,0,0,0,0,"football"
"Herb Kopf",1.9375,0.241,0,0,0,0,0,"football"
"Herb Sies",0.5,0.4,0,0,0,0,0,"football"
"Herb Williams",0.536585365853659,0.386,0,0,0,0,0,"basketball"
"Herm Edwards",8,0.422,2,0.333,0,0,0,"football"
"Herm Schaefer",1.67073170731707,0.453,0.25,0,0,0,0,"basketball"
"Herman Ball",1.25,0.2,0,0,0,0,0,"football"
"Herman Franks",6.96296296296296,0.537,0,0,0,0,0,"baseball"
"Hinkey Haines",0.25,0.25,0,0,0,0,0,"football"
"Hoge Workman",0.625,0.2,0,0,0,0,0,"football"
"Holly Hollingshead",0.506172839506173,0.195,0,0,0,0,0,"baseball"
"Homer Rice",1.6875,0.296,0,0,0,0,0,"football"
"Honus Wagner",0.0308641975308642,0.2,0,0,0,0,1,"baseball"
"Horace Fogel",0.703703703703704,0.345,0,0,0,0,0,"baseball"
"Horace Phillips",4.72222222222222,0.449,0,0,0,0,0,"baseball"
"Howard Schnellenberger",1.0625,0.235,0,0,0,0,0,"football"
"Howie Meeker",0.853658536585366,0.381818181818182,0,0,0,0,0,"hockey"
"Howie Schultz",0.426829268292683,0.6,0,0,0,0,0,"basketball"
"Hubert Wiggs",0.25,0.25,0,0,0,0,0,"football"
"Hubie Brown",11.2073170731707,0.461,2.375,0.368,0,0,0,"basketball"
"Hue Jackson",3.5,0.205,0,0,0,0,0,"football"
"Hugh Campbell",1.875,0.267,0,0,0,0,0,"football"
"Hugh Devore",1.625,0.28,0,0,0,0,0,"football"
"Hugh Duffy",7.53703703703704,0.444,0,0,0,0,1,"baseball"
"Hugh Lehman",0.25609756097561,0.15,0,0,0,0,1,"hockey"
"Hugh Nicol",0.246913580246914,0.2,0,0,0,0,0,"baseball"
"Hugh Taylor",0.875,0.286,0,0,0,0,0,"football"
"Hughie Jennings",13.5925925925926,0.543,1.45454545454545,0.25,3,0,1,"baseball"
"Hugo Bezdek",0.875,0.071,0,0,0,0,0,"football"
"Hugo Bezdek",2.19753086419753,0.47,0,0,0,0,0,"baseball"
"Hunk Anderson",2.25,0.676,0.666666666666667,0.5,1,1,0,"football"
"Igor Kokoskov",1,0.232,0,0,0,0,0,"basketball"
"Ike Duffey",0.0365853658536585,0.333,0,0,0,0,0,"basketball"
"Isiah Thomas",5,0.456,0.9375,0.333,0,0,0,"basketball"
"Ivan Hlinka",1.04878048780488,0.567567567567568,1.125,0.5,0,0,0,"hockey"
"Ivey Wingo",0.0123456790123457,0.5,0,0,0,0,0,"baseball"
"J.B. Bickerstaff",2.76829268292683,0.396,0.3125,0.2,0,0,0,"basketball"
"J.D. Roberts",2.1875,0.227,0,0,0,0,0,"football"
"Jack Adams",11.7560975609756,0.514321295143213,6.5625,0.5,3,3,1,"hockey"
"Jack Barry",0.969135802469136,0.592,0,0,0,0,0,"baseball"
"Jack Burdock",0.333333333333333,0.556,0,0,0,0,0,"baseball"
"Jack Capuano",5.89024390243902,0.541766109785203,1.5,0.417,0,0,0,"hockey"
"Jack Chapman",5.35185185185185,0.411,0,0,1,0,0,"baseball"
"Jack Chevigny",0.625,0.25,0,0,0,0,0,"football"
"Jack Christiansen",4.1875,0.406,0,0,0,0,1,"football"
"Jack Clements",0.117283950617284,0.684,0,0,0,0,0,"baseball"
"Jack Coombs",0.388888888888889,0.29,0,0,0,0,0,"baseball"
"Jack Crooks",0.382716049382716,0.45,0,0,0,0,0,"baseball"
"Jack Del Rio",11.6875,0.497,1.33333333333333,0.25,0,0,0,"football"
"Jack Depler",2.375,0.364,0,0,0,0,0,"football"
"Jack Doyle",0.5,0.5,0,0,0,0,0,"baseball"
"Jack Evans",7.48780487804878,0.438888888888889,1,0.5,0,0,0,"hockey"
"Jack Farrell",0.314814814814815,0.471,0,0,0,0,0,"baseball"
"Jack Faulkner",2,0.29,0,0,0,0,0,"football"
"Jack Fish",0.5625,0.125,0,0,0,0,0,"football"
"Jack Forsyth",1,0.571,0,0,0,0,0,"football"
"Jack Glasscock",0.438271604938272,0.5,0,0,0,0,0,"baseball"
"Jack Gordon",3.52439024390244,0.485355648535565,1.5625,0.44,0,0,0,"hockey"
"Jack Hegarty",0.1875,0.333,0,0,0,0,0,"football"
"Jack Heldt",0.4375,0.143,0,0,0,0,0,"football"
"Jack Hendricks",6.51234567901235,0.496,0,0,0,0,0,"baseball"
"Jack Keogh",0.625,0.3,0,0,0,0,0,"football"
"Jack Krol",0.0185185185185185,0.333,0,0,0,0,0,"baseball"
"Jack Manning",0.123456790123457,0.368,0,0,0,0,0,"baseball"
"Jack McCallister",0.944444444444444,0.431,0,0,0,0,0,"baseball"
"Jack McCloskey",2,0.293,0,0,0,0,0,"basketball"
"Jack McKeon",12.6049382716049,0.515,1.54545454545455,0.647,1,1,0,"baseball"
"Jack McKinney",4.28048780487805,0.387,0.125,0,0,0,0,"basketball"
"Jack McMahon",6.69512195121951,0.474,1.8125,0.345,0,0,0,"basketball"
"Jack Meagher",0.375,0.167,0,0,0,0,0,"football"
"Jack O'Connor",0.975308641975309,0.305,0,0,0,0,0,"baseball"
"Jack Onslow",1.14197530864198,0.386,0,0,0,0,0,"baseball"
"Jack Pardee",10.25,0.53,2,0.167,0,0,0,"football"
"Jack Patera",5.875,0.372,0,0,0,0,0,"football"
"Jack Ramsay",20.0853658536585,0.525,6.375,0.431,1,1,1,"basketball"
"Jack Rowe",0.617283950617284,0.273,0,0,0,0,0,"baseball"
"Jack Slattery",0.191358024691358,0.355,0,0,0,0,0,"baseball"
"Jack Smiley",0.329268292682927,0.407,0,0,0,0,0,"basketball"
"Jack Tighe",1.25308641975309,0.488,0,0,0,0,0,"baseball"
"Jackie Moore",2.17901234567901,0.462,0,0,0,0,0,"baseball"
"Jacque Vaughn",2.65853658536585,0.275,0,0,0,0,0,"basketball"
"Jacques Demers",12.280487804878,0.46636259977195,6.125,0.561,1,1,0,"hockey"
"Jacques Laperriere",0.0121951219512195,0,0,0,0,0,0,"hockey"
"Jacques Lemaire",15.390243902439,0.573953488372093,7.3125,0.521,1,1,1,"hockey"
"Jacques Martin",15.780487804878,0.560329067641682,6.9375,0.45,0,0,0,"hockey"
"Jake Stahl",3.33333333333333,0.493,0.636363636363636,0.571,1,1,0,"baseball"
"James Borrego",2.15853658536585,0.407,0,0,0,0,0,"basketball"
"Jap Douds",0.6875,0.333,0,0,0,0,0,"football"
"Jared Bednar",3.85365853658537,0.516014234875445,1.125,0.5,0,0,0,"hockey"
"Jason Garrett",9.5,0.559,1.66666666666667,0.4,0,0,0,"football"
"Jason Kidd",4.54878048780488,0.491,1.5,0.375,0,0,0,"basketball"
"Jay Faatz",0.209876543209877,0.273,0,0,0,0,0,"baseball"
"Jay Gruden",5.3125,0.418,0.333333333333333,0,0,0,0,"football"
"Jay Triano",3.75609756097561,0.351,0,0,0,0,0,"basketball"
"Jean Perron",3.5,0.563492063492063,3,0.625,1,1,0,"hockey"
"Jean-Guy Talbot",2.4390243902439,0.476744186046512,0.5,0.25,0,0,0,"hockey"
"Jeff Banister",3.93827160493827,0.509,0.727272727272727,0.25,0,0,0,"baseball"
"Jeff Blashill",4.86585365853659,0.440922190201729,0.3125,0.2,0,0,0,"hockey"
"Jeff Bower",0.890243902439024,0.466,0,0,0,0,0,"basketball"
"Jeff Bzdelik",2.34146341463415,0.38,0.3125,0.2,0,0,0,"basketball"
"Jeff Fisher",21.1875,0.512,3.66666666666667,0.455,1,0,0,"football"
"Jeff Hornacek",4.59756097560976,0.427,0,0,0,0,0,"basketball"
"Jeff Newman",0.0617283950617284,0.2,0,0,0,0,0,"baseball"
"Jeff Torborg",8.34567901234568,0.469,0,0,0,0,0,"baseball"
"Jeff Van Gundy",9.12195121951219,0.575,5.5,0.5,1,0,0,"basketball"
"Jeremy Colliton",1.67073170731707,0.516666666666667,0,0,0,0,0,"hockey"
"Jerry Burns",5.9375,0.547,2,0.5,0,0,0,"football"
"Jerry Colangelo",1.45121951219512,0.496,0.4375,0.429,0,0,0,"basketball"
"Jerry Coleman",1.00617283950617,0.451,0,0,0,0,0,"baseball"
"Jerry Glanville",8.0625,0.465,2.33333333333333,0.429,0,0,0,"football"
"Jerry Manuel",8.58024691358025,0.507,0.272727272727273,0,0,0,0,"baseball"
"Jerry Narron",3.90740740740741,0.46,0,0,0,0,0,"baseball"
"Jerry Reynolds",2.07317073170732,0.329,0,0,0,0,0,"basketball"
"Jerry Royster",0.907407407407407,0.361,0,0,0,0,0,"baseball"
"Jerry Sloan",24.6829268292683,0.603,12.625,0.485,2,0,1,"basketball"
"Jerry Smith",0.3125,0.4,0,0,0,0,0,"football"
"Jerry Tarkanian",0.24390243902439,0.45,0,0,0,0,1,"basketball"
"Jerry West",3,0.589,1.375,0.364,0,0,0,"basketball"
"Jerry Williams",1.9375,0.241,0,0,0,0,0,"football"
"Jewel Ens",2.12345679012346,0.513,0,0,0,0,0,"baseball"
"Jim Anderson",0.658536585365854,0.0816326530612245,0,0,0,0,0,"hockey"
"Jim Bates",0.4375,0.429,0,0,0,0,0,"football"
"Jim Bottomley",0.481481481481481,0.273,0,0,0,0,1,"baseball"
"Jim Boylan",1.29268292682927,0.434,0.25,0,0,0,0,"basketball"
"Jim Boylen",1.5,0.317,0,0,0,0,0,"basketball"
"Jim Brovelli",0.219512195121951,0.278,0,0,0,0,0,"basketball"
"Jim Caldwell",7,0.554,2,0.333,1,0,0,"football"
"Jim Cleamons",1.19512195121951,0.286,0,0,0,0,0,"basketball"
"Jim Clinton",0.0679012345679012,0,0,0,0,0,0,"baseball"
"Jim Crowley",0.625,0,0,0,0,0,0,"football"
"Jim Davenport",0.888888888888889,0.389,0,0,0,0,0,"baseball"
"Jim Dooley",3.5,0.357,0,0,0,0,0,"football"
"Jim Essian",0.753086419753086,0.484,0,0,0,0,0,"baseball"
"Jim Fanning",1.35185185185185,0.53,0.909090909090909,0.5,0,0,0,"baseball"
"Jim Fassel",7,0.522,1.66666666666667,0.4,1,0,0,"football"
"Jim Fogarty",0.0987654320987654,0.438,0,0,0,0,0,"baseball"
"Jim Fregosi",13.0987654320988,0.484,1.45454545454545,0.438,1,0,0,"baseball"
"Jim Frey",3.7716049382716,0.53,1.27272727272727,0.5,1,0,0,"baseball"
"Jim Gifford",1.30864197530864,0.352,0,0,0,0,0,"baseball"
"Jim Hanifan",5.8125,0.425,0.333333333333333,0,0,0,0,"football"
"Jim Harbaugh",4,0.695,2.66666666666667,0.625,1,0,0,"football"
"Jim Hart",2.3641975308642,0.537,0,0,0,0,0,"baseball"
"Jim Haslett",6.75,0.435,0.666666666666667,0.5,0,0,0,"football"
"Jim Kendrick",0.8125,0.364,0,0,0,0,0,"football"
"Jim Kennedy",0.617283950617284,0.263,0,0,0,0,0,"baseball"
"Jim Laird",0.8125,0.417,0,0,0,0,0,"football"
"Jim Lee Howell",5.25,0.663,1.33333333333333,0.5,1,1,0,"football"
"Jim Lefebvre",5.30864197530864,0.485,0,0,0,0,0,"baseball"
"Jim Lemon",0.993827160493827,0.404,0,0,0,0,0,"baseball"
"Jim Leonard",0.625,0.2,0,0,0,0,0,"football"
"Jim Leyland",21.5987654320988,0.506,7.63636363636364,0.524,3,1,0,"baseball"
"Jim Lynam",8.78048780487805,0.456,1.3125,0.381,0,0,0,"basketball"
"Jim Manning",0.851851851851852,0.459,0,0,0,0,0,"baseball"
"Jim Marshall",3.42592592592593,0.413,0,0,0,0,0,"baseball"
"Jim McCormick",1.05555555555556,0.435,0,0,0,0,0,"baseball"
"Jim Montgomery",1.39024390243902,0.586538461538462,0.8125,0.538,0,0,0,"hockey"
"Jim Mora",14.4375,0.541,2,0,0,0,0,"football"
"Jim Mora",4,0.484,0.666666666666667,0.5,0,0,0,"football"
"Jim Mutrie",6.87654320987654,0.611,0,0,3,2,0,"baseball"
"Jim O'Brien",7.68292682926829,0.481,1.9375,0.452,0,0,0,"basketball"
"Jim O'Rourke",3.14814814814815,0.488,0,0,0,0,1,"baseball"
"Jim Playfair",1,0.597222222222222,0.375,0.333,0,0,0,"hockey"
"Jim Pollard",1.45121951219512,0.269,0.5625,0.556,0,0,0,"basketball"
"Jim Price",0.617283950617284,0.571,0,0,0,0,0,"baseball"
"Jim Riggleman",10.0617283950617,0.445,0.272727272727273,0,0,0,0,"baseball"
"Jim Ringo",1.4375,0.13,0,0,0,0,1,"football"
"Jim Rogers",0.271604938271605,0.415,0,0,0,0,0,"baseball"
"Jim Schoenfeld",7.07317073170732,0.50996015936255,3.5625,0.456,0,0,0,"hockey"
"Jim Schwartz",5,0.363,0.333333333333333,0,0,0,0,"football"
"Jim Shofner",0.4375,0.143,0,0,0,0,0,"football"
"Jim Snyder",0.648148148148148,0.429,0,0,0,0,0,"baseball"
"Jim Thorpe",2.5625,0.359,0,0,0,0,1,"football"
"Jim Todd",0.451219512195122,0.108,0,0,0,0,0,"basketball"
"Jim Tomsula",1.0625,0.353,0,0,0,0,0,"football"
"Jim Tracy",10.716049382716,0.493,0.727272727272727,0.25,0,0,0,"baseball"
"Jim Trimble",3,0.556,0,0,0,0,0,"football"
"Jim Wiley",0.695121951219512,0.314814814814815,0,0,0,0,0,"hockey"
"Jim Zorn",2,0.375,0,0,0,0,0,"football"
"Jimmie Wilson",7.6358024691358,0.401,0,0,0,0,0,"baseball"
"Jimmy Austin",0.462962962962963,0.413,0,0,0,0,0,"baseball"
"Jimmy Burke",2.74691358024691,0.466,0,0,0,0,0,"baseball"
"Jimmy Callahan",5.34567901234568,0.462,0,0,0,0,0,"baseball"
"Jimmy Collins",5.19753086419753,0.548,0.727272727272727,0.625,2,1,1,"baseball"
"Jimmy Conzelman",10.4375,0.58,0.666666666666667,0.5,2,2,1,"football"
"Jimmy Darden",0.75609756097561,0.177,0,0,0,0,0,"basketball"
"Jimmy Dykes",18.2839506172839,0.477,0,0,0,0,0,"baseball"
"Jimmy Gardner",0.365853658536585,0.655172413793103,0,0,0,0,0,"hockey"
"Jimmy Johnson",9,0.556,4.33333333333333,0.692,2,2,1,"football"
"Jimmy Macullar",0.166666666666667,0.192,0,0,0,0,0,"baseball"
"Jimmy McAleer",10.2345679012346,0.453,0,0,0,0,0,"baseball"
"Jimmy Phelan",3.125,0.271,0,0,0,0,0,"football"
"Jimmy Roberts",1.63414634146341,0.454545454545455,0.4375,0.429,0,0,0,"hockey"
"Jimmy Rodgers",3.35365853658537,0.418,0.5,0.25,0,0,0,"basketball"
"Jimmy Skinner",3.01219512195122,0.611940298507463,1.625,0.538,1,1,0,"hockey"
"Jimmy Williams",1.74074074074074,0.394,0,0,0,0,0,"baseball"
"Jimmy Wood",1.27160493827161,0.515,0,0,0,0,0,"baseball"
"Jimy Williams",10.5,0.535,1.27272727272727,0.357,0,0,0,"baseball"
"Jo-Jo White",0.00617283950617284,1,0,0,0,0,0,"baseball"
"Jock Sutherland",2.8125,0.636,0.333333333333333,0,0,0,0,"football"
"Joe Adcock",1,0.463,0,0,0,0,0,"baseball"
"Joe Altobelli",5.20987654320988,0.518,0.818181818181818,0.778,1,1,0,"baseball"
"Joe Bach",3,0.438,0,0,0,0,0,"football"
"Joe Battin",0.197530864197531,0.281,0,0,0,0,0,"baseball"
"Joe Birmingham",2.2716049382716,0.471,0,0,0,0,0,"baseball"
"Joe Brandy",0.375,0,0,0,0,0,0,"football"
"Joe Bugel",5,0.3,0,0,0,0,0,"football"
"Joe Cantillon",2.87037037037037,0.347,0,0,0,0,0,"baseball"
"Joe Collier",1.875,0.448,0.333333333333333,0,0,0,0,"football"
"Joe Cronin",14.2901234567901,0.54,1.09090909090909,0.333,2,0,1,"baseball"
"Joe Crozier",2.82926829268293,0.46875,0.375,0.333,0,0,0,"hockey"
"Joe Ellick",0.0802469135802469,0.5,0,0,0,0,0,"baseball"
"Joe Frazier",1.27777777777778,0.488,0,0,0,0,0,"baseball"
"Joe Gerhardt",0.839506172839506,0.541,0,0,0,0,0,"baseball"
"Joe Gibbs",15.5,0.621,8,0.708,4,3,1,"football"
"Joe Girardi",11,0.554,4.72727272727273,0.538,1,1,0,"baseball"
"Joe Gordon",3.7962962962963,0.498,0,0,0,0,1,"baseball"
"Joe Kelley",4.12962962962963,0.513,0,0,0,0,1,"baseball"
"Joe Kerrigan",0.265432098765432,0.395,0,0,0,0,0,"baseball"
"Joe Kuharich",8.875,0.417,0,0,0,0,0,"football"
"Joe Kuhel",1.90123456790123,0.345,0,0,0,0,0,"baseball"
"Joe Lapchick",6.98780487804878,0.569,3.75,0.5,0,0,0,"basketball"
"Joe Maddon",14.3271604938272,0.54,6.09090909090909,0.478,2,1,0,"baseball"
"Joe McCarthy",21.5246913580247,0.615,3.90909090909091,0.698,9,7,1,"baseball"
"Joe Miller",0.0679012345679012,0,0,0,0,0,0,"baseball"
"Joe Morgan",3.47530864197531,0.535,0.727272727272727,0,0,0,0,"baseball"
"Joe Mullaney",2.35365853658537,0.544,1.875,0.533,0,0,0,"basketball"
"Joe Philbin",3.5,0.464,0,0,0,0,0,"football"
"Joe Primeau",2.5609756097561,0.577380952380952,0.9375,0.567,1,1,1,"hockey"
"Joe Prunty",0.451219512195122,0.568,0.4375,0.429,0,0,0,"basketball"
"Joe Quinn",0.962962962962963,0.148,0,0,0,0,0,"baseball"
"Joe Sacco",3.58536585365854,0.492424242424242,0.375,0.333,0,0,0,"hockey"
"Joe Schmidt",5.25,0.558,0.333333333333333,0,0,0,1,"football"
"Joe Schultz",1.17901234567901,0.411,0,0,0,0,0,"baseball"
"Joe Simmons",0.191358024691358,0.097,0,0,0,0,0,"baseball"
"Joe Simpson",1.75609756097561,0.368421052631579,0,0,0,0,1,"hockey"
"Joe Start",0.154320987654321,0.72,0,0,0,0,0,"baseball"
"Joe Stydahar",3.0625,0.417,1,0.667,1,1,1,"football"
"Joe Thomas",0.6875,0.182,0,0,0,0,0,"football"
