"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"542","Buck Rodgers",9.62345679012346,0.503,0.454545454545455,0.4,0,0,0
"543","Edwin Rodriguez",1.00617283950617,0.479,0,0,0,0,0
"544","Ron Roenicke",4.15432098765432,0.508,1,0.455,0,0,0
"545","Jim Rogers",0.271604938271605,0.415,0,0,0,0,0
"546","Cookie Rojas",0.95679012345679,0.49,0,0,0,0,0
"547","Red Rolfe",3.32716049382716,0.521,0,0,0,0,0
"548","Pete Rose",4.85185185185185,0.525,0,0,0,0,0
"549","Chief Roseman",0.0925925925925926,0.467,0,0,0,0,0
"550","Larry Rothschild",3.08024691358025,0.411,0,0,0,0,0
"551","Dave Rowe",1.08641975308642,0.257,0,0,0,0,0
"552","Jack Rowe",0.617283950617284,0.273,0,0,0,0,0
"553","Pants Rowland",3.64197530864198,0.578,0.545454545454545,0.667,1,1,0
"554","Jerry Royster",0.907407407407407,0.361,0,0,0,0,0
"555","Muddy Ruel",0.950617283950617,0.383,0,0,0,0,0
"556","Tom Runnells",0.919753086419753,0.456,0,0,0,0,0
"557","Pete Runnels",0.0987654320987654,0.5,0,0,0,0,0
"558","Bill Russell",1.98765432098765,0.537,0.272727272727273,0,0,0,0
"559","John Russell",2.99382716049383,0.384,0,0,0,0,0
"560","Connie Ryan",0.203703703703704,0.333,0,0,0,0,0
"561","Juan Samuel",0.314814814814815,0.333,0,0,0,0,0
"562","Ryne Sandberg",1.71604938271605,0.428,0,0,0,0,1
"563","Eddie Sawyer",5.04320987654321,0.48,0.363636363636364,0,1,0,0
"564","Mike Scanlon",1.20987654320988,0.313,0,0,0,0,0
"565","Bob Schaefer",0.111111111111111,0.333,0,0,0,0,0
"566","Ray Schalk",1.40740740740741,0.449,0,0,0,0,1
"567","Bob Scheffing",5.24074074074074,0.495,0,0,0,0,0
"568","Larry Schlafly",1.20987654320988,0.484,0,0,0,0,0
"569","Gus Schmelz",8.37654320987654,0.47,0,0,0,0,0
"570","Red Schoendienst",12.3395061728395,0.522,1.27272727272727,0.5,2,1,1
"571","Joe Schultz",1.17901234567901,0.411,0,0,0,0,0
"572","Mike Scioscia",19,0.536,4.36363636363636,0.438,1,1,0
"573","Frank Selee",13.4567901234568,0.598,0,0,5,0,1
"574","Scott Servais",4,0.495,0,0,0,0,0
